person_id,first_name,last_name,display_first_last,display_last_comma_first,display_fi_last,player_slug,birthdate,school,country,last_affiliation,height,weight,season_exp,jersey,position,rosterstatus,games_played_current_season_flag,team_id,team_name,team_abbreviation,team_code,team_city,playercode,from_year,to_year,dleague_flag,nba_flag,games_played_flag,draft_year,draft_round,draft_number,greatest_75_flag,is_active,jugo_desde_2018,to_year_numeric
1630173,Precious,Achiuwa,Precious Achiuwa,"Achiuwa, Precious",P. Achiuwa,precious-achiuwa,19/9/1999,Memphis,Nigeria,Memphis/Nigeria,6-Aug,225.0,3,5,Forward,Active,N,1610612761,Raptors,TOR,raptors,Toronto,precious_achiuwa,1970-01-01 00:00:00.000002020,1970-01-01 00:00:00.000002023,N,Y,Y,2020,1,20,N,1,Sí,2023
203500,Steven,Adams,Steven Adams,"Adams, Steven",S. Adams,steven-adams,20/7/1993,Pittsburgh,New Zealand,Pittsburgh/New Zealand,6-Nov,265.0,10,4,Center,Active,N,1610612763,Grizzlies,MEM,grizzlies,Memphis,steven_adams,1970-01-01 00:00:00.000002013,1970-01-01 00:00:00.000002023,N,Y,Y,2013,1,12,N,1,Sí,2023
1628389,Bam,Adebayo,Bam Adebayo,"Adebayo, Bam",B. Adebayo,bam-adebayo,18/7/1997,Kentucky,USA,Kentucky/USA,6-Sep,255.0,6,13,Center-Forward,Active,N,1610612748,Heat,MIA,heat,Miami,bam_adebayo,1970-01-01 00:00:00.000002017,1970-01-01 00:00:00.000002023,N,Y,Y,2017,1,14,N,1,Sí,2023
1629061,Deng,Adel,Deng Adel,"Adel, Deng",D. Adel,deng-adel,1/2/1997,Louisville,South Sudan,Louisville/South Sudan,6-Jul,200.0,2,32,Forward,Inactive,N,1610612739,Cavaliers,CLE,cavaliers,Cleveland,deng_adel,1970-01-01 00:00:00.000002018,1970-01-01 00:00:00.000002018,Y,Y,Y,2018,,,N,0,Sí,2018
1630534,Ochai,Agbaji,Ochai Agbaji,"Agbaji, Ochai",O. Agbaji,ochai-agbaji,20/4/2000,Kansas,USA,Kansas/USA,6-May,215.0,1,30,Guard,Active,N,1610612762,Jazz,UTA,jazz,Utah,ochai_agbaji,1970-01-01 00:00:00.000002022,1970-01-01 00:00:00.000002023,Y,Y,Y,2022,1,14,N,1,Sí,2023
1630583,Santi,Aldama,Santi Aldama,"Aldama, Santi",S. Aldama,santi-aldama,10/1/2001,Loyola-Maryland,Spain,Loyola-Maryland/Spain,7-0,215.0,2,7,Forward-Center,Active,N,1610612763,Grizzlies,MEM,grizzlies,Memphis,santi_aldama,1970-01-01 00:00:00.000002021,1970-01-01 00:00:00.000002023,Y,Y,Y,2021,1,30,N,1,Sí,2023
200746,LaMarcus,Aldridge,LaMarcus Aldridge,"Aldridge, LaMarcus",L. Aldridge,lamarcus-aldridge,19/7/1985,University of Texas at Austin,USA,Texas-Austin/USA,6-Nov,250.0,17,21,Center-Forward,Inactive,N,1610612751,Nets,BKN,nets,Brooklyn,lamarcus_aldridge,1970-01-01 00:00:00.000002006,1970-01-01 00:00:00.000002021,N,Y,Y,2006,1,2,N,0,Sí,2021
1629734,Kyle,Alexander,Kyle Alexander,"Alexander, Kyle",K. Alexander,kyle-alexander,21/10/1996,Tennessee,Canada,Tennessee/Canada,6-Oct,216.0,2,17,Forward-Center,Inactive,N,1610612748,Heat,MIA,heat,Miami,kyle_alexander,1970-01-01 00:00:00.000002019,1970-01-01 00:00:00.000002019,Y,Y,Y,Undrafted,Undrafted,Undrafted,N,0,Sí,2019
1630234,Ty-Shon,Alexander,Ty-Shon Alexander,"Alexander, Ty-Shon",T. Alexander,ty-shon-alexander,16/7/1998,Creighton,USA,Creighton/USA,6-Mar,195.0,2,0,Guard,Inactive,N,1610612756,Suns,PHX,suns,Phoenix,ty-shon_alexander,1970-01-01 00:00:00.000002020,1970-01-01 00:00:00.000002020,Y,Y,Y,Undrafted,Undrafted,Undrafted,N,0,Sí,2020
1629638,Nickeil,Alexander-Walker,Nickeil Alexander-Walker,"Alexander-Walker, Nickeil",N. Alexander-Walker,nickeil-alexander-walker,2/9/1998,Virginia Tech,Canada,Virginia Tech/Canada,6-May,205.0,4,9,Guard,Active,N,1610612750,Timberwolves,MIN,timberwolves,Minnesota,nickeil_alexander-walker,1970-01-01 00:00:00.000002019,1970-01-01 00:00:00.000002023,Y,Y,Y,2019,1,17,N,1,Sí,2023
