season,player_id,first_name,last_name,player_name,position,height_wo_shoes,height_w_shoes,weight,wingspan,standing_reach,body_fat_pct,hand_length,hand_width,standing_vertical_leap,max_vertical_leap,lane_agility_time,modified_lane_agility_time,three_quarter_sprint,bench_press
2023,1641723,Kobe,Bufkin,Kobe Bufkin,SG,76.25,77.25,186.8,79.75,102.5,6.1,8.0,9.25,29.0,36.0,11.71,3.08,3.26,10.0
2023,1641775,Jordan,Walsh,Jordan Walsh,SF,77.75,79.75,204.0,85.75,107.0,6.7,8.75,8.5,33.0,36.0,10.83,3.125,3.3,10.0
2023,1641750,Ryan,Kalkbrenner,Ryan Kalkbrenner,C,84.75,83.75,251.8,89.0,112.5,8.0,9.25,11.0,28.0,30.5,12.27,3.26,3.39,11.0
2023,1641764,Brandin,Podziemski,Brandin Podziemski,SG,75.75,77.25,203.8,77.5,96.5,6.1,8.25,10.0,31.5,39.0,11.16,3.2,3.21,10.0
2023,1641763,Julian,Phillips,Julian Phillips,SF,78.75,79.75,196.6,83.5,102.0,6.7,8.5,9.0,36.0,43.0,11.09,3.125,3.32,10.0
2023,1641762,James,Nnaji,James Nnaji,C,82.25,83.75,248.8,87.75,110.5,8.0,9.25,10.0,27.0,30.5,12.03,3.26,3.42,11.0
2023,1641761,Grant,Nelson,Grant Nelson,PF,82.0,81.0,223.4,84.0,106.5,7.865,9.0,9.5,32.0,35.5,9.99,3.14,3.21,12.0
2023,1641760,Omari,Moore,Omari Moore,SG,77.25,77.25,188.6,81.75,103.5,6.1,9.0,10.25,29.0,35.5,10.8,3.08,3.22,10.0
2023,1641759,Dillon,Mitchell,Dillon Mitchell,PF,78.75,81.0,193.0,82.0,105.0,7.865,8.25,9.5,29.0,37.0,10.92,3.14,3.32,12.0
2023,1641758,Judah,Mintz,Judah Mintz,PG,75.0,74.0,176.4,75.5,98.0,6.1,8.25,9.25,28.5,37.0,10.32,3.13,3.24,8.0
2023,1641757,Jordan,Miller,Jordan Miller,SF,76.5,79.75,191.6,83.75,103.5,6.7,8.5,9.25,32.0,36.5,11.43,3.21,3.17,10.0
2023,1641756,Mike,Miles Jr.,Mike Miles Jr.,PG,72.75,74.0,205.0,72.5,96.0,6.1,8.0,8.25,33.0,37.0,11.01,3.24,3.11,8.0
2023,1641771,Jalen,Slawson,Jalen Slawson,PF,78.5,81.0,221.6,83.75,106.0,7.865,9.0,9.0,29.0,33.0,11.26,3.14,3.29,12.0
2023,1641772,Nae'Qwan,Tomlin,Nae'Qwan Tomlin,PF,79.75,81.0,233.4,85.125,106.5,7.865,9.0,9.75,28.5,34.0,11.47,3.14,3.29,12.0
2023,1641773,Azuolas,Tubelis,Azuolas Tubelis,PF,80.75,81.0,234.8,83.0,108.0,7.865,9.0,10.5,23.5,30.5,11.17,3.14,3.5,12.0
2023,1641774,Tristan,Vukcevic,Tristan Vukcevic,C,83.25,83.75,223.4,86.5,111.0,8.0,9.0,10.25,26.0,30.5,11.71,3.16,3.43,11.0
2023,1641712,Rayan,Rupert,Rayan Rupert,SF,78.0,79.75,193.2,86.0,106.0,6.7,8.5,9.5,27.5,32.5,11.18,3.125,3.43,10.0
2023,1641713,GG,Jackson,GG Jackson,PF,80.25,81.0,214.4,83.5,106.0,7.865,8.5,10.0,31.0,37.0,11.39,3.14,3.21,12.0
2023,1641715,Cam,Whitmore,Cam Whitmore,SF,77.75,79.75,235.0,80.5,103.5,6.7,8.0,8.25,31.5,40.5,10.82,3.33,3.2,10.0
2023,1641716,Jarace,Walker,Jarace Walker,PF,78.5,81.0,248.6,86.5,104.5,7.865,9.0,10.0,34.5,38.0,10.89,3.14,3.2,12.0
2023,1641717,Cason,Wallace,Cason Wallace,PG,74.5,74.0,195.2,80.5,101.0,6.1,8.5,9.25,28.0,36.0,10.82,3.0599999999999996,3.34,8.0
2023,1641718,Keyonte,George,Keyonte George,SG,75.75,77.25,200.9,80.75,101.0,6.1,8.5,9.25,30.0,36.0,11.024999999999999,3.08,3.22,10.0
2023,1641720,Jalen,Hood-Schifino,Jalen Hood-Schifino,PG,76.25,74.0,216.6,82.25,100.5,6.1,9.0,9.75,29.5,36.0,11.004999999999999,3.0599999999999996,3.21,8.0
2023,1641721,Maxwell,Lewis,Maxwell Lewis,SG,78.25,77.25,207.2,84.0,104.5,6.1,8.75,9.5,32.5,36.5,11.4,3.08,3.43,10.0
2023,1641722,Jordan,Hawkins,Jordan Hawkins,SG,76.25,77.25,186.0,78.75,101.5,6.1,8.25,8.75,30.0,36.0,11.024999999999999,3.08,3.22,10.0
2023,1641729,Brice,Sensabaugh,Brice Sensabaugh,SF,78.25,79.75,216.0,83.25,104.5,6.7,8.75,9.5,29.5,35.0,11.36,3.125,3.285,10.0
2023,1641727,Dariq,Whitehead,Dariq Whitehead,SG,77.75,77.25,217.2,82.25,103.5,6.1,8.5,10.0,30.0,36.0,11.024999999999999,3.08,3.22,10.0
2023,1631218,Trayce,Jackson-Davis,Trayce Jackson-Davis,C,80.25,83.75,240.4,85.0,106.0,8.0,9.25,10.75,33.0,36.5,11.8,3.23,3.2,11.0
2023,1631243,Mouhamed,Gueye,Mouhamed Gueye,C,82.25,83.75,212.6,87.25,110.5,8.0,9.0,10.0,27.0,30.5,12.03,3.26,3.42,11.0
2023,1641730,Noah,Clowney,Noah Clowney,PF,79.75,81.0,233.4,85.125,106.5,7.865,9.0,9.75,28.5,34.0,11.47,3.14,3.29,12.0
2023,1641710,Anthony,Black,Anthony Black,PG,77.75,74.0,210.0,79.5,102.5,6.1,8.25,9.5,32.0,39.0,11.04,3.0599999999999996,3.35,8.0
2023,1641711,Gradey,Dick,Gradey Dick,SG,78.25,77.25,204.0,80.75,101.0,6.1,8.25,9.0,29.0,34.0,11.13,2.98,3.5,10.0
2023,1631200,Kris,Murray,Kris Murray,PF,79.75,81.0,212.8,83.75,106.0,7.865,8.5,9.0,29.5,35.0,11.11,3.14,3.3,12.0
2023,1631340,Mojave,King,Mojave King,SG,75.75,77.25,200.6,80.0,101.0,6.1,8.75,9.5,33.5,42.0,11.07,3.08,3.18,10.0
2023,1631321,Sidy,Cissoko,Sidy Cissoko,SF,77.5,79.75,223.8,81.75,104.0,6.7,9.25,10.0,30.5,35.5,11.24,3.125,3.31,10.0
2023,1631256,Kevin,McCullar,Kevin McCullar,SF,78.25,79.75,216.0,83.25,104.5,6.7,8.75,9.5,29.5,35.0,11.36,3.125,3.285,10.0
2023,1641754,Seth,Lundy,Seth Lundy,SF,76.0,79.75,214.4,82.25,104.0,6.7,8.5,9.0,31.5,35.5,11.02,3.125,3.15,10.0
2023,1641724,Jett,Howard,Jett Howard,SF,78.25,79.75,216.0,83.25,104.5,6.7,8.75,9.5,29.5,35.0,11.36,3.125,3.285,10.0
2023,1641725,Trey,Alexander,Trey Alexander,SG,75.25,77.25,184.6,82.0,101.5,6.1,8.5,8.75,29.5,34.0,11.6,3.08,3.35,10.0
2023,1641726,Dereck,Lively Jr.,Dereck Lively Jr.,C,82.25,83.75,248.8,87.75,110.5,8.0,9.25,10.0,27.0,30.5,12.03,3.26,3.42,11.0
2023,1641765,Olivier-Maxence,Prosper,Olivier-Maxence Prosper,PF,78.75,81.0,212.4,85.0,104.0,7.865,8.25,10.0,35.0,40.5,10.59,3.0,3.21,12.0
2023,1641766,Adama,Sanogo,Adama Sanogo,C,79.25,83.75,257.8,86.75,108.5,8.0,9.75,10.0,28.5,31.0,11.5,3.26,3.31,11.0
2023,1641709,Ausar,Thompson,Ausar Thompson,SG,77.75,77.25,218.2,84.0,104.0,6.1,8.75,9.25,30.0,36.0,11.024999999999999,3.08,3.22,10.0
2023,1631173,Terquavion,Smith,Terquavion Smith,SG,74.5,75.75,163.2,78.75,98.0,3.8,8.5,8.0,30.0,37.0,10.86,3.03,3.21,10.0
2023,1631204,Marcus,Sasser,Marcus Sasser,PG,73.25,74.0,195.6,79.0,99.5,6.1,8.75,9.5,27.0,35.0,10.68,3.0599999999999996,3.43,8.0
2023,1631209,Isaiah,Wong,Isaiah Wong,SG,74.5,77.25,178.4,78.75,97.5,6.1,8.25,9.5,32.5,37.0,10.93,3.08,3.22,10.0
2023,1631159,Leonard,Miller,Leonard Miller,PF,81.25,82.0,212.8,86.0,106.5,5.7,9.5,10.5,32.0,37.5,11.0,3.02,3.33,12.0
2023,1631166,Drew,Timme,Drew Timme,C,80.75,81.25,243.2,85.75,108.5,15.7,9.0,10.0,26.0,30.5,10.93,3.31,3.34,11.0
2023,1631124,Julian,Strawther,Julian Strawther,SF,78.0,79.0,208.8,81.25,105.0,7.9,8.25,8.25,27.5,34.5,10.94,3.46,3.31,10.0
2023,1631131,Oscar,Tshiebwe,Oscar Tshiebwe,C,79.25,83.75,253.6,87.5,108.0,8.0,9.75,10.25,29.5,32.5,12.26,3.26,3.32,11.0
2023,1631170,Jaime,Jaquez Jr.,Jaime Jaquez Jr.,SF,78.0,79.75,226.4,81.5,99.5,6.7,8.5,9.5,34.5,39.0,11.21,3.125,3.33,10.0
2023,1641767,Ben,Sheppard,Ben Sheppard,SG,77.25,77.25,194.6,79.75,100.0,6.1,8.5,9.5,29.5,35.5,10.88,2.98,3.17,10.0
2023,1641731,Bilal,Coulibaly,Bilal Coulibaly,SG-SF,76.875,78.2,206.1,82.0,103.0,6.7,8.75,9.5,30.0,35.5,11.3,3.14,3.23,9.0
2023,1641732,Colby,Jones,Colby Jones,SG,76.5,77.25,199.2,80.0,103.0,6.1,8.25,8.5,30.5,35.0,11.14,3.13,3.33,10.0
2023,1641733,Nick,Smith Jr.,Nick Smith Jr.,SG,75.75,77.25,200.9,80.75,101.0,6.1,8.5,9.25,30.0,36.0,11.024999999999999,3.08,3.22,10.0
2023,1641734,Emoni,Bates,Emoni Bates,SF,80.25,79.75,179.2,81.0,105.0,6.7,8.0,8.25,27.0,32.5,11.54,3.125,3.49,10.0
2023,1641735,Amari,Bailey,Amari Bailey,SG,75.25,77.25,190.8,79.0,103.5,6.1,8.0,9.25,28.5,35.0,11.34,3.08,3.19,10.0
2023,1641736,Reece,Beekman,Reece Beekman,PG,73.5,74.0,190.6,79.0,100.5,6.1,8.5,8.25,30.5,38.0,10.99,3.33,3.14,8.0
2023,1641737,Adem,Bona,Adem Bona,C,80.25,83.75,243.4,87.75,110.5,8.0,9.25,10.0,27.0,30.5,12.03,3.26,3.42,11.0
2023,1641738,Kobe,Brown,Kobe Brown,PF,78.5,81.0,252.2,84.75,106.5,7.865,8.75,9.75,28.5,32.0,11.39,3.23,3.33,12.0
2023,1641739,Toumani,Camara,Toumani Camara,PF,79.0,81.0,220.4,84.5,107.0,7.865,9.0,10.0,28.5,33.0,10.7,3.19,3.41,12.0
