person_id,first_name,last_name,display_first_last,display_last_comma_first,display_fi_last,player_slug,birthdate,school,country,last_affiliation,height,weight,season_exp,jersey,position,rosterstatus,games_played_current_season_flag,team_id,team_name,team_abbreviation,team_code,team_city,playercode,from_year,to_year,dleague_flag,nba_flag,games_played_flag,draft_year,draft_round,draft_number,greatest_75_flag,is_active
76001,Alaa,Abdelnaby,Alaa Abdelnaby,"Abdelnaby, Alaa",A. Abdelnaby,alaa-abdelnaby,24/6/1968,Duke,USA,Duke/USA,6-Oct,240.0,5,30,Forward,Inactive,N,1610612757,Trail Blazers,POR,blazers,Portland,HISTADD_alaa_abdelnaby,1990.0,1994.0,N,Y,Y,1990,1,25,N,0
76003,Kareem,Abdul-Jabbar,Kareem Abdul-Jabbar,"Abdul-Jabbar, Kareem",K. Abdul-Jabbar,kareem-abdul-jabbar,16/4/1947,UCLA,USA,UCLA/USA,7-Feb,225.0,20,33,Center,Inactive,N,1610612747,Lakers,LAL,lakers,Los Angeles,HISTADD_kareem_abdul-jabbar,1969.0,1988.0,N,Y,Y,1969,1,1,Y,0
1505,Tariq,Abdul-Wahad,Tariq Abdul-Wahad,"Abdul-Wahad, Tariq",T. Abdul-Wahad,tariq-abdul-wahad,3/11/1974,San Jose State,France,San Jose State/France,6-Jun,235.0,7,9,Forward-Guard,Inactive,N,1610612758,Kings,SAC,kings,Sacramento,tariq_abdul-wahad,1997.0,2003.0,N,Y,Y,1997,1,11,N,0
949,Shareef,Abdur-Rahim,Shareef Abdur-Rahim,"Abdur-Rahim, Shareef",S. Abdur-Rahim,shareef-abdur-rahim,11/12/1976,California,USA,California/USA,6-Sep,245.0,13,3,Forward,Inactive,N,1610612763,Grizzlies,VAN,grizzlies,Vancouver,shareef_abdur-rahim,1996.0,2007.0,N,Y,Y,1996,1,3,N,0
76005,Tom,Abernethy,Tom Abernethy,"Abernethy, Tom",T. Abernethy,tom-abernethy,6/5/1954,Indiana,USA,Indiana/USA,6-Jul,220.0,5,5,Forward,Inactive,N,1610612744,Warriors,GOS,warriors,Golden State,HISTADD_tom_abernethy,1976.0,1980.0,N,Y,Y,1976,3,43,N,0
76006,Forest,Able,Forest Able,"Able, Forest",F. Able,forest-able,27/7/1932,Western Kentucky,USA,Western Kentucky/USA,6-Mar,180.0,1,6,Guard,Inactive,N,1610612755,Nationals,PHI,sixers,Syracuse,HISTADD_frosty_able,1956.0,1956.0,N,Y,Y,1956,,,N,0
76007,John,Abramovic,John Abramovic,"Abramovic, John",J. Abramovic,john-abramovic,9/2/1919,Salem,USA,Salem/USA,6-Mar,195.0,2,,Forward,Inactive,N,1610610031,Ironmen,PIT,ironmen,Pittsburgh,HISTADD_brooms_abramovic,1946.0,1947.0,N,Y,Y,Undrafted,Undrafted,Undrafted,N,0
203518,Alex,Abrines,Alex Abrines,"Abrines, Alex",A. Abrines,alex-abrines,1/8/1993,FC Barcelona,Spain,FC Barcelona/Spain,6-Jun,200.0,3,,Guard,Inactive,N,0,,,,,alex_abrines,2016.0,2018.0,N,Y,Y,2013,2,32,N,0
1630173,Precious,Achiuwa,Precious Achiuwa,"Achiuwa, Precious",P. Achiuwa,precious-achiuwa,19/9/1999,Memphis,Nigeria,Memphis/Nigeria,6-Aug,225.0,3,5,Forward,Active,N,1610612761,Raptors,TOR,raptors,Toronto,precious_achiuwa,2020.0,2023.0,N,Y,Y,2020,1,20,N,1
101165,Alex,Acker,Alex Acker,"Acker, Alex",A. Acker,alex-acker,21/1/1983,Pepperdine,USA,Pepperdine/USA,6-May,185.0,3,3,Guard,Inactive,N,1610612746,Clippers,LAC,clippers,Los Angeles,alex_acker,2005.0,2008.0,Y,Y,Y,2005,2,60,N,0
76008,Donald,Ackerman,Donald Ackerman,"Ackerman, Donald",D. Ackerman,donald-ackerman,4/9/1930,Long Island-Brooklyn,USA,Long Island-Brooklyn/USA,6-0,183.0,1,,Guard,Inactive,N,1610612752,Knicks,NYK,knicks,New York,HISTADD_buddy_ackerman,1953.0,1953.0,N,Y,Y,1953,2,,N,0
76009,Mark,Acres,Mark Acres,"Acres, Mark",M. Acres,mark-acres,15/11/1962,Oral Roberts,USA,Oral Roberts/USA,6-Nov,220.0,6,42,Center,Inactive,N,1610612753,Magic,ORL,magic,Orlando,HISTADD_mark_acres,1987.0,1992.0,N,Y,Y,1985,2,40,N,0
76010,Charles,Acton,Charles Acton,"Acton, Charles",C. Acton,charles-acton,11/1/1942,Hillsdale,USA,Hillsdale/USA,6-Jun,210.0,1,24,Forward,Inactive,N,1610612745,Rockets,SDR,rockets,San Diego,HISTADD_bud_acton,1967.0,1967.0,N,Y,Y,Undrafted,Undrafted,Undrafted,N,0
203112,Quincy,Acy,Quincy Acy,"Acy, Quincy",Q. Acy,quincy-acy,6/10/1990,Baylor,USA,Baylor/USA,6-Jul,240.0,7,,Forward,Inactive,N,0,,,,,quincy_acy,2012.0,2018.0,Y,Y,Y,2012,2,37,N,0
76011,Alvan,Adams,Alvan Adams,"Adams, Alvan",A. Adams,alvan-adams,19/7/1954,Oklahoma,USA,Oklahoma/USA,6-Sep,210.0,13,33,Center,Inactive,N,1610612756,Suns,PHX,suns,Phoenix,HISTADD_alvan_adams,1975.0,1987.0,N,Y,Y,1975,1,4,N,0
76012,Don,Adams,Don Adams,"Adams, Don",D. Adams,don-adams,27/11/1947,Northwestern,USA,Northwestern/USA,6-Jul,210.0,7,10,Forward,Inactive,N,1610612765,Pistons,DET,pistons,Detroit,HISTADD_don_adams,1970.0,1976.0,N,Y,Y,1970,8,120,N,0
200801,Hassan,Adams,Hassan Adams,"Adams, Hassan",H. Adams,hassan-adams,20/6/1984,Arizona,USA,Arizona/USA,6-Apr,220.0,2,,Forward,Inactive,N,0,,,,,hassan_adams,2006.0,2008.0,N,Y,Y,2006,2,54,N,0
1629121,Jaylen,Adams,Jaylen Adams,"Adams, Jaylen",J. Adams,jaylen-adams,4/5/1996,St. Bonaventure,USA,St. Bonaventure/USA,6-0,225.0,3,,Guard,Inactive,N,0,,,,,jaylen_adams,2018.0,2020.0,Y,Y,Y,Undrafted,Undrafted,Undrafted,N,0
203919,Jordan,Adams,Jordan Adams,"Adams, Jordan",J. Adams,jordan-adams,8/7/1994,UCLA,USA,UCLA/USA,6-May,209.0,3,3,Guard,Inactive,N,1610612763,Grizzlies,MEM,grizzlies,Memphis,jordan_adams,2014.0,2015.0,Y,Y,Y,2014,1,22,N,0
149,Michael,Adams,Michael Adams,"Adams, Michael",M. Adams,michael-adams,19/1/1963,Boston College,USA,Boston College/USA,5-Oct,165.0,11,23,Guard,Inactive,N,1610612743,Nuggets,DEN,nuggets,Denver,michael_adams,1985.0,1995.0,N,Y,Y,1985,3,66,N,0
203500,Steven,Adams,Steven Adams,"Adams, Steven",S. Adams,steven-adams,20/7/1993,Pittsburgh,New Zealand,Pittsburgh/New Zealand,6-Nov,265.0,10,4,Center,Active,N,1610612763,Grizzlies,MEM,grizzlies,Memphis,steven_adams,2013.0,2023.0,N,Y,Y,2013,1,12,N,1
912,Rafael,Addison,Rafael Addison,"Addison, Rafael",R. Addison,rafael-addison,22/7/1964,Syracuse,USA,Syracuse/USA,6-Aug,241.0,6,7,Forward,Inactive,N,1610612751,Nets,NJN,nets,New Jersey,rafael_addison,1986.0,1996.0,N,Y,Y,1986,2,39,N,0
1628389,Bam,Adebayo,Bam Adebayo,"Adebayo, Bam",B. Adebayo,bam-adebayo,18/7/1997,Kentucky,USA,Kentucky/USA,6-Sep,255.0,6,13,Center-Forward,Active,N,1610612748,Heat,MIA,heat,Miami,bam_adebayo,2017.0,2023.0,N,Y,Y,2017,1,14,N,1
1629061,Deng,Adel,Deng Adel,"Adel, Deng",D. Adel,deng-adel,1/2/1997,Louisville,South Sudan,Louisville/South Sudan,6-Jul,200.0,2,32,Forward,Inactive,N,1610612739,Cavaliers,CLE,cavaliers,Cleveland,deng_adel,2018.0,2018.0,Y,Y,Y,2018,,,N,0
76015,Rick,Adelman,Rick Adelman,"Adelman, Rick",R. Adelman,rick-adelman,16/6/1946,Loyola-Marymount,USA,Loyola-Marymount/USA,6-Feb,175.0,7,5,Guard,Inactive,N,1610612757,Trail Blazers,POR,blazers,Portland,HISTADD_rick_adelman,1968.0,1974.0,N,Y,Y,1968,7,79,N,0
202399,Jeff,Adrien,Jeff Adrien,"Adrien, Jeff",J. Adrien,jeff-adrien,10/2/1986,Connecticut,USA,Connecticut/USA,,,6,,,Inactive,N,0,,,,,jeff_adrien,2010.0,2014.0,Y,Y,Y,Undrafted,Undrafted,Undrafted,N,0
201167,Arron,Afflalo,Arron Afflalo,"Afflalo, Arron",A. Afflalo,arron-afflalo,15/10/1985,UCLA,USA,UCLA/USA,6-May,210.0,12,4,Guard,Inactive,N,1610612743,Nuggets,DEN,nuggets,Denver,arron_afflalo,2007.0,2017.0,N,Y,Y,2007,1,27,N,0
1630534,Ochai,Agbaji,Ochai Agbaji,"Agbaji, Ochai",O. Agbaji,ochai-agbaji,20/4/2000,Kansas,USA,Kansas/USA,6-May,215.0,1,30,Guard,Active,N,1610612762,Jazz,UTA,jazz,Utah,ochai_agbaji,2022.0,2023.0,Y,Y,Y,2022,1,14,N,1
200772,Maurice,Ager,Maurice Ager,"Ager, Maurice",M. Ager,maurice-ager,9/2/1984,Michigan State,USA,Michigan State/USA,6-May,202.0,4,,Forward-Guard,Inactive,N,0,,,,,maurice_ager,2006.0,2010.0,Y,Y,Y,2006,1,28,N,0
76016,Mark,Aguirre,Mark Aguirre,"Aguirre, Mark",M. Aguirre,mark-aguirre,10/12/1959,DePaul,USA,DePaul/USA,6-Jun,232.0,13,7,Forward,Inactive,N,1610612742,Mavericks,DAL,mavericks,Dallas,HISTADD_mark_aguirre,1981.0,1993.0,N,Y,Y,1981,1,1,N,0
201336,Blake,Ahearn,Blake Ahearn,"Ahearn, Blake",B. Ahearn,blake-ahearn,27/5/1984,Missouri State,USA,Missouri State/USA,6-Feb,190.0,4,2,Guard,Inactive,N,1610612748,Heat,MIA,heat,Miami,blake_ahearn,2007.0,2011.0,Y,Y,Y,Undrafted,Undrafted,Undrafted,N,0
